city,date,temperature,humidity,wind_speed,pressure,rainfall,temp_lag_1,rain_lag_1,humidity_lag_1,temp_roll_3,rain_roll_3,hour,day,month,dayofweek,is_monsoon,temp_lag_24,rain_lag_24,temp_roll_24,rain_roll_72,is_peak_heat
Abbottabad,2026-04-22 09:00:00,27.7,64,31.3,1009.0,0.0,26.5,0.0,72.0,26.53333333333333,0.0,9,22,4,2,0,27.9,0.0,27.674999999999997,0.0,0
Abbottabad,2026-04-22 10:00:00,28.8,59,32.0,1009.0,0.0,27.7,0.0,64.0,27.666666666666668,0.0,10,22,4,2,0,29.0,0.0,27.666666666666668,0.0,0
Abbottabad,2026-04-22 11:00:00,29.6,56,32.8,1008.0,0.0,28.8,0.0,59.0,28.7,0.0,11,22,4,2,0,29.9,0.0,27.654166666666665,0.0,0
Abbottabad,2026-04-22 12:00:00,30.1,55,34.6,1008.0,0.0,29.6,0.0,56.0,29.5,0.0,12,22,4,2,0,30.7,0.0,27.629166666666666,0.0,1
Abbottabad,2026-04-22 13:00:00,30.2,55,35.3,1007.0,0.0,30.1,0.0,55.0,29.96666666666667,0.0,13,22,4,2,0,31.0,0.0,27.595833333333335,0.0,1
Abbottabad,2026-04-22 14:00:00,30.3,55,34.9,1006.0,0.0,30.2,0.0,55.0,30.2,0.0,14,22,4,2,0,30.8,0.0,27.575,0.0,1
Abbottabad,2026-04-22 15:00:00,30.1,56,34.6,1006.0,0.0,30.3,0.0,55.0,30.2,0.0,15,22,4,2,0,30.6,0.0,27.554166666666664,0.0,1
Abbottabad,2026-04-22 16:00:00,29.7,58,33.5,1005.0,0.0,30.1,0.0,56.0,30.03333333333333,0.0,16,22,4,2,0,30.2,0.0,27.533333333333335,0.0,1
Abbottabad,2026-04-22 17:00:00,29.1,61,31.3,1005.0,0.0,29.7,0.0,58.0,29.633333333333336,0.0,17,22,4,2,0,29.6,0.0,27.5125,0.0,0
Abbottabad,2026-04-22 18:00:00,28.3,65,30.2,1005.0,0.0,29.1,0.0,61.0,29.03333333333333,0.0,18,22,4,2,0,28.7,0.0,27.495833333333334,0.0,0
Abbottabad,2026-04-22 19:00:00,27.3,72,30.6,1006.0,0.0,28.3,0.0,65.0,28.233333333333334,0.0,19,22,4,2,0,27.8,0.0,27.474999999999998,0.0,0
Abbottabad,2026-04-22 20:00:00,26.7,76,30.6,1006.0,0.0,27.3,0.0,72.0,27.433333333333337,0.0,20,22,4,2,0,27.2,0.0,27.454166666666666,0.0,0
Abbottabad,2026-04-22 21:00:00,26.6,78,29.5,1007.0,0.0,26.7,0.0,76.0,26.866666666666664,0.0,21,22,4,2,0,27.0,0.0,27.4375,0.0,0
Abbottabad,2026-04-22 22:00:00,26.4,80,29.2,1007.0,0.0,26.6,0.0,78.0,26.566666666666666,0.0,22,22,4,2,0,26.7,0.0,27.425,0.0,0
Abbottabad,2026-04-22 23:00:00,26.3,82,28.4,1007.0,0.0,26.4,0.0,80.0,26.433333333333334,0.0,23,22,4,2,0,26.5,0.0,27.416666666666668,0.0,0
Abbottabad,2026-04-23 00:00:00,26.3,80,25.6,1007.0,0.0,26.3,0.0,82.0,26.333333333333332,0.0,0,23,4,3,0,26.2,0.0,27.420833333333334,0.0,0
Abbottabad,2026-04-23 01:00:00,26.1,81,25.2,1007.0,0.0,26.3,0.0,80.0,26.233333333333334,0.0,1,23,4,3,0,25.9,0.0,27.429166666666664,0.0,0
Abbottabad,2026-04-23 02:00:00,25.9,83,25.9,1006.0,0.0,26.1,0.0,81.0,26.100000000000005,0.0,2,23,4,3,0,25.7,0.0,27.4375,0.0,0
Abbottabad,2026-04-23 03:00:00,25.6,84,25.9,1006.0,0.0,25.9,0.0,83.0,25.866666666666664,0.0,3,23,4,3,0,25.5,0.0,27.441666666666663,0.0,0
Abbottabad,2026-04-23 04:00:00,25.5,86,26.3,1006.0,0.0,25.6,0.0,84.0,25.666666666666668,0.0,4,23,4,3,0,25.3,0.0,27.45,0.0,0
Abbottabad,2026-04-23 05:00:00,25.4,86,26.3,1006.0,0.0,25.5,0.0,86.0,25.5,0.0,5,23,4,3,0,25.2,0.0,27.458333333333332,0.0,0
Abbottabad,2026-04-23 06:00:00,25.2,87,25.9,1006.0,0.0,25.4,0.0,86.0,25.366666666666664,0.0,6,23,4,3,0,25.1,0.0,27.462500000000002,0.0,0
Abbottabad,2026-04-23 07:00:00,25.6,86,26.6,1007.0,0.0,25.2,0.0,87.0,25.400000000000002,0.0,7,23,4,3,0,25.4,0.0,27.470833333333335,0.0,0
Abbottabad,2026-04-23 08:00:00,26.5,78,29.9,1008.0,0.0,25.6,0.0,86.0,25.766666666666666,0.0,8,23,4,3,0,26.5,0.0,27.47083333333333,0.0,0
Abbottabad,2026-04-23 09:00:00,27.7,71,30.6,1008.0,0.0,26.5,0.0,78.0,26.599999999999998,0.0,9,23,4,3,0,27.7,0.0,27.470833333333335,0.0,0
Abbottabad,2026-04-23 10:00:00,28.8,65,31.7,1008.0,0.0,27.7,0.0,71.0,27.666666666666668,0.0,10,23,4,3,0,28.8,0.0,27.47083333333333,0.0,0
Abbottabad,2026-04-23 11:00:00,29.7,62,32.0,1008.0,0.0,28.8,0.0,65.0,28.733333333333334,0.0,11,23,4,3,0,29.6,0.0,27.475000000000005,0.0,0
Abbottabad,2026-04-23 12:00:00,30.4,58,31.3,1007.0,0.0,29.7,0.0,62.0,29.633333333333336,0.0,12,23,4,3,0,30.1,0.0,27.4875,0.0,1
